gene_id,gene_mapping_id,gene_product,go_terms
102,60,O14672,GO:0004175!GO:0004222!GO:0005515!GO:0005788!GO:0005794!GO:0005798!GO:0005886!GO:0006509!GO:0007162!GO:0008237!GO:0008284!GO:0009986!GO:0010629!GO:0010820!GO:0022617!GO:0030307!GO:0030335!GO:0034612!GO:0035333!GO:0035579!GO:0042117!GO:0042987!GO:0043066!GO:0043231!GO:0043312!GO:0043687!GO:0044267!GO:0046930!GO:0046931!GO:0051089!GO:0070821!GO:0071157!GO:0097038!GO:0097060!GO:0097197!GO:1901998!GO:1902945
103,61,P55265,GO:0003726!GO:0005515!GO:0005634!GO:0005654!GO:0005730!GO:0005737!GO:0006382!GO:0006606!GO:0006611!GO:0009615!GO:0016553!GO:0031054!GO:0035280!GO:0035455!GO:0044387!GO:0044530!GO:0045070!GO:0045087!GO:0060337
105,62,Q9NS39,GO:0003725!GO:0003727!GO:0004000
107,63,Q08828,GO:0003091!GO:0005886!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0034199!GO:0071377
108,64,Q08462,GO:0003091!GO:0005737!GO:0005886!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0034199!GO:0071377
109,65,O60266,GO:0003091!GO:0004016!GO:0005737!GO:0005886!GO:0005887!GO:0007165!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0034199!GO:0071377
111,66,O95622,GO:0003091!GO:0004016!GO:0005886!GO:0006171!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0007204!GO:0016021!GO:0034199!GO:0045111!GO:0061178!GO:0071377!GO:1904322
112,67,O43306,GO:0003091!GO:0004016!GO:0005080!GO:0005515!GO:0005886!GO:0006171!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0007212!GO:0034199!GO:0071377!GO:0071380!GO:0071870!GO:0097746!GO:1904322
113,68,P51828,GO:0003091!GO:0004016!GO:0005886!GO:0006171!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0016021!GO:0034199!GO:0071361!GO:0071377
114,69,P40145,GO:0003091!GO:0004016!GO:0005886!GO:0007165!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0007611!GO:0008294!GO:0016020!GO:0034199!GO:0071377
115,70,O60503,GO:0003091!GO:0004016!GO:0005886!GO:0005887!GO:0006171!GO:0007165!GO:0007186!GO:0007189!GO:0007190!GO:0007193!GO:0016021!GO:0034199!GO:0071377!GO:0071880
116,71,P18509,GO:0005102!GO:0005184!GO:0005515!GO:0005576!GO:0007186!GO:0007189!GO:0007190!GO:0007218!GO:0007267!GO:0007565!GO:0008277!GO:0016521!GO:0019933!GO:0031175!GO:0032880!GO:0043547!GO:0045860!GO:0045944!GO:0051428!GO:0070374!GO:0071651
117,72,P41586,GO:0005515!GO:0005886!GO:0005887!GO:0007166!GO:0007186!GO:0038023!GO:0043231!GO:0043235
118,73,P35611,GO:0003779!GO:0005515!GO:0005634!GO:0005654!GO:0005737!GO:0005829!GO:0005886!GO:0005912!GO:0008134!GO:0008290!GO:0016604!GO:0030036!GO:0030507!GO:0032092!GO:0036498!GO:0042803!GO:0046982!GO:0051015!GO:0051016!GO:0051017!GO:0055085!GO:0071277!GO:1903142!GO:1903393
119,74,P35612,GO:0003779!GO:0005829!GO:0008290!GO:0019901!GO:0030036!GO:0030507!GO:0031410!GO:0032092!GO:0042803!GO:0044853!GO:0046982!GO:0050900!GO:0050901!GO:0051015!GO:0051016!GO:0051017!GO:0055085!GO:0065003
120,75,Q9UEY8,GO:0005200!GO:0005829!GO:0005886!GO:0016020!GO:0055085
123,76,Q99541,GO:0005515!GO:0005576!GO:0005783!GO:0005811!GO:0005886!GO:0019216
124,77,P07327,GO:0004024!GO:0005515!GO:0005654!GO:0005829!GO:0005886!GO:0006069!GO:0017144
125,78,P00325,GO:0001523!GO:0004024!GO:0004745!GO:0005654!GO:0005829!GO:0005886!GO:0006069!GO:0008270
126,79,P00326,GO:0004022!GO:0005654!GO:0005829!GO:0005886!GO:0006069
127,80,P08319,GO:0001523!GO:0004022!GO:0004024!GO:0004745!GO:0005503!GO:0005515!GO:0005654!GO:0005829!GO:0006066!GO:0006069!GO:0006081!GO:0008270!GO:0010430!GO:0016620!GO:0019115!GO:0019841!GO:0042572!GO:0051287
128,81,P11766,GO:0005504!GO:0005829!GO:0006069!GO:0008270!GO:0009055!GO:0010430!GO:0018467!GO:0051775!GO:0051903
130,82,P28332,GO:0004022!GO:0005829!GO:0006069!GO:0045471
131,83,P40394,GO:0001523!GO:0004022!GO:0004024!GO:0004031!GO:0004745!GO:0005829!GO:0005886!GO:0006069!GO:0009617!GO:0010430!GO:0019841!GO:0035276!GO:0045471!GO:0048019!GO:0055114
133,84,P35318,GO:0001570!GO:0001878!GO:0002031!GO:0003073!GO:0005102!GO:0005576!GO:0005615!GO:0005737!GO:0006954!GO:0007165!GO:0007186!GO:0007189!GO:0010460!GO:0019731!GO:0019732!GO:0031623!GO:0031700!GO:0035809!GO:0045906!GO:0050829!GO:0050830!GO:0061844!GO:0097647!GO:1990410!GO:2000184
134,85,P30542,GO:0005515!GO:0005886!GO:0005887!GO:0006909!GO:0006954!GO:0007165!GO:0007186!GO:0007267!GO:0007399!GO:0097190
135,86,P29274,GO:0000139!GO:0001609!GO:0005515!GO:0005886!GO:0005887!GO:0006909!GO:0006915!GO:0006954!GO:0006968!GO:0007186!GO:0007188!GO:0007189!GO:0007267!GO:0007417!GO:0007596!GO:0007600!GO:0008015!GO:0016020!GO:0019899!GO:0042802!GO:0044267
136,87,P29275,GO:0000187!GO:0005515!GO:0005886!GO:0005887!GO:0006968!GO:0007186!GO:0007190!GO:0007254!GO:0007588!GO:0044267
141,88,P54922,GO:0000287!GO:0003875!GO:0005515!GO:0006464!GO:0030955!GO:0051725
142,89,P09874,GO:0000122!GO:0000715!GO:0000717!GO:0000723!GO:0000724!GO:0003677!GO:0003950!GO:0005515!GO:0005634!GO:0005635!GO:0005654!GO:0005667!GO:0005730!GO:0005739!GO:0006281!GO:0006293!GO:0006294!GO:0006295!GO:0006296!GO:0006302!GO:0006366!GO:0006471!GO:0006915!GO:0006974!GO:0007005!GO:0008134!GO:0016604!GO:0018312!GO:0018424!GO:0019899!GO:0019901!GO:0030225!GO:0030592!GO:0032042!GO:0032869!GO:0032991!GO:0032993!GO:0033683!GO:0034599!GO:0034644!GO:0035861!GO:0036211!GO:0042802!GO:0043504!GO:0045944!GO:0047485!GO:0050790!GO:0070212!GO:0070213!GO:0070911!GO:0090734!GO:0140294!GO:1903518!GO:1903827!GO:1905168!GO:1990404!GO:1990966!GO:2001170
143,90,Q9UKK3,GO:0003677!GO:0003950!GO:0005515!GO:0005737!GO:0005829!GO:0005876!GO:0006281!GO:0006464!GO:0006954!GO:0008219!GO:0019899!GO:0051972!GO:0140289!GO:1990404
146,91,P25100,GO:0004937!GO:0005515!GO:0005886!GO:0005887!GO:0007186!GO:0007188!GO:0007267!GO:0008284!GO:0042802
147,92,P35368,GO:0004937!GO:0005515!GO:0005634!GO:0005737!GO:0005886!GO:0005887!GO:0007186!GO:0007188!GO:0007267!GO:0031965!GO:0035556!GO:0043410!GO:0046982
148,93,P35348,GO:0004937!GO:0005515!GO:0005634!GO:0005737!GO:0005886!GO:0005887!GO:0006915!GO:0006939!GO:0007165!GO:0007186!GO:0007267!GO:0008285!GO:0031965!GO:0035556!GO:0043410!GO:0046982
